externalid,DocumentId,SegmentID,Name,Usage,Length,StartAt,Description,ElementId
116,2,31,TYPEAJUSTEMENT,M,13,18,,116
117,2,31,MONTANT,M,18,31,,117
118,2,32,NOTE,O,80,18,,118
119,2,33,TYPEREFERENCE,M,14,18,,119
120,2,33,REFERENCE,M,50,32,,120
121,2,33,DESCRIPTION,C,80,82,,121
122,2,34,QTE_TOTALE,C,15,18,,122
123,2,34,UOFM,C,13,33,,123
124,2,34,PRIX_VENTE,C,17,46,,124
125,2,34,ASSIGNEDID,C,20,63,,125
126,2,34,UOFM_PRIX,C,13,83,,126
127,2,35,TYPECODEPRODUIT,M,13,18,,127
128,2,35,CODE_PRODUIT,C,48,31,,128
129,2,36,TYPEREFERENCE,M,3,18,,129
130,2,36,REFERENCE,M,50,21,,130
131,2,36,DESCRIPTION,C,80,71,,131
132,2,37,TYPEDATE,M,3,18,,132
133,2,37,DATE,C,8,21,,133
